REPORTING YEAR,FACILITY NAME,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,GHGRP ID,REPORTED ADDRESS
2020,Hunlock Unit 4,41.2033,-76.0683,HUNLOCK CREEK,Luzerne,PA,18621,UGI CORP (100%),18769,D,1000484,390 STATE RTE 11
2020,Hunter,39.1747,-111.0289,CASTLE DALE,Emery,UT,84513,BERKSHIRE HATHAWAY INC (84.69%); DESERET GENERATION & TRANSMISSION COOPERATIVE (8.37%); UTAH ASSOCIATED MUNICIPAL POWER SYSTEMS (4.86%); UTAH MUNICIPAL POWER AGENCY (2.08%),7906870,D,1001036,UT HWY 10 S OF CASTLE DALE
2020,Hunterstown Combined Cycle,39.8725,-77.1672,GETTYSBURG,Adams,PA,17325,PLATINUM EQUITY ADVISORS LLC (100%),2512185,"C,D",1000475,1731 Hunterstown Road
2020,Huntington,39.3792,-111.0781,HUNTINGTON,Emery,UT,84528,BERKSHIRE HATHAWAY INC (100%),4452385,D,1001193,HWY 31 10 MI W HUNTINGTON
2020,IPL Eagle Valley Generating Station,39.4851,-86.4176,MARTINSVILLE,Morgan,IN,46151,AES CORP (100%),1792523,"C,D",1001534,4040 BLUE BLUFF ROAD
2020,Iatan Generating Station,39.4472,-94.98,WESTON,Platte,MO,64098,EVERGY INC (79.4%); MISSOURI JOINT MUNICIPAL ELECTRIC UTILITY COMMISSION (6.6%); KANSAS ELECTRIC POWER COOPERATIVE INC (2%); LIBERTY UTILITIES CO (12%),6251421,D,1001018,20250 HWY 45 N
2020,Indeck-Corinth Energy Center,43.25,-73.8125,CORINTH,Saratoga,NY,12822,INDECK ENERGY SERVICES INC (100%),169733,"C,D",1001243,24 WHITE ST
2020,Indeck-Olean Energy Center,42.0875,-78.4578,OLEAN,Cattaraugus,NY,14760,INDECK ENERGY SERVICES INC (100%),40410,"C,D",1006205,140 MOORE AVE
2020,Indeck-Oswego Energy Center,43.4682,-76.4965,OSWEGO,Oswego,NY,13126,INDECK ENERGY SERVICES INC (100%),9957,D,1001241,105 MITCHELL ST
2020,Indeck-Silver Springs Energy Center,42.6544,-78.0772,SILVER SPRINGS,Wyoming,NY,14550,INDECK ENERGY SERVICES INC (100%),24767,"C,D",1001240,1 INDECK DRIVE
2020,Indeck-Yerkes Energy Center,42.9671,-78.9182,TONAWANDA,Erie,NY,14150,INDECK ENERGY SERVICES INC (100%),29802,"C,D",1001242,1 SHERIDAN DRIVE
2020,Independence,35.6733,-91.4083,NEWARK,Independence,AR,72562,ENTERGY CORP (47.93%); ARKANSAS ELECTRIC COOPERATIVE CORP (35%); EAST TEXAS ELECTRIC COOPERATIVE INC (3.57%); CONWAY CORP (2%); CITY WATER & LIGHT PLANT OF THE CITY OF JONESBORO (10%); CITY OF WEST MEMPHIS AR (1%),3349950,"C,D",1001059,555 POINT FERRY ROAD
2020,Independence,43.495,-76.4508,OSWEGO,Oswego,NY,13126,Vistra Corp (100%),1605730,"C,D",1000432,76 INDEPENDENCE WAY
2020,Indian River,38.5857,-75.2341,DAGSBORO,Sussex,DE,19939,NRG ENERGY INC (100%),149540,"C,D",1001478,29416 POWER PLANT ROAD
2020,Indigo Generation Facility,33.9114,-116.5533,NORTH PALM SPRINGS,Riverside,CA,92258,MITSUBISHI CORP (AMERICAS) (100%),23593,D,1000128,63500 19TH AVE
2020,Inland Empire Energy Center,33.7393,-117.1701,ROMOLAND,Riverside,CA,92585,GENERAL ELECTRIC CO (100%),0,"C,D",1000469,26226 ANTELOPE RD
